Event	ID	Name			Wwise Object Path	Notes
	140324371	Play_VOX_BARD_HIT			\Default Work Unit\VOX\BARDE\BARD_Hit\Play_VOX_BARD_HIT	
	319568522	Play_VOX_BARD_Enga_Cmb			\Default Work Unit\VOX\BARDE\BARD_Enga_Cmb\Play_VOX_BARD_Enga_Cmb	
	374495388	Play_VOX_PANT_Cris_Douleur			\Default Work Unit\VOX\PANTIN\CRIS_DOULEUR\Play_VOX_PANT_Cris_Douleur	
	2152833002	Play_VOX_BARD_Appel			\Default Work Unit\VOX\BARDE\BARD_Appel\Play_VOX_BARD_Appel	
	3306837711	Play_VOX_PANT_React			\Default Work Unit\VOX\PANTIN\REACT\Play_VOX_PANT_React	
	3729616362	Play_VOX_PANT_Donner_Coup			\Default Work Unit\VOX\PANTIN\DONNER_COUP\Play_VOX_PANT_Donner_Coup	
	4068130120	Play_VOX_PANT_Mort			\Default Work Unit\VOX\PANTIN\MORT\Play_VOX_PANT_Mort	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	78133750	ONO_HIT_BARDE-010	C:\Users\Marc\Documents\GitHub\KLAFT\KLAFT-Son_WwiseProject\.cache\Mac\SFX\VOX\BARDE\Hit\ONO_HIT_BARDE-010_50EE1F45.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX\PERSONNAGES\Barde\VOX_BARD_Cris_Douleur\VOX_BARD_HIT\ONO_HIT_BARDE-010		87344
	124562742	PANTIN_REAC-001	C:\Users\Marc\Documents\GitHub\KLAFT\KLAFT-Son_WwiseProject\.cache\Mac\SFX\VOX\PANTIN\REACT\PANTIN_REAC-001_826EB2F4.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX\ENNEMIS\Pantin\VOX_PANT_React\VOX_PANT_React\PANTIN_REAC-001		193098
	197328391	PANTIN_CRIS_DOULEURS-002	C:\Users\Marc\Documents\GitHub\KLAFT\KLAFT-Son_WwiseProject\.cache\Mac\SFX\VOX\PANTIN\CRIS_DOULEUR\PANTIN_CRIS_DOULEURS-002_DE3E47F2.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX\ENNEMIS\Pantin\VOX_PANT_Cris_Douleur\VOX_PANT_Cris_Douleur\PANTIN_CRIS_DOULEURS-002		83046
	296882556	PANTIN_REAC-002	C:\Users\Marc\Documents\GitHub\KLAFT\KLAFT-Son_WwiseProject\.cache\Mac\SFX\VOX\PANTIN\REACT\PANTIN_REAC-002_51D5D875.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX\ENNEMIS\Pantin\VOX_PANT_React\VOX_PANT_React\PANTIN_REAC-002		134548
	520588617	ONO_HIT_BARDE-004	C:\Users\Marc\Documents\GitHub\KLAFT\KLAFT-Son_WwiseProject\.cache\Mac\SFX\VOX\BARDE\Hit\ONO_HIT_BARDE-004_B455F7D9.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX\PERSONNAGES\Barde\VOX_BARD_Cris_Douleur\VOX_BARD_HIT\ONO_HIT_BARDE-004		98888
	556459483	ONO_ENGAAG_COMBAT_BARDE-006	C:\Users\Marc\Documents\GitHub\KLAFT\KLAFT-Son_WwiseProject\.cache\Mac\SFX\PERSO\Barde\Engagement combat\ONO_ENGAAG_COMBAT_BARDE-006_0DBD7F1A.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX\PERSONNAGES\Barde\VOX_BARD_Enga_Cmb\VOX_BARD_Enga_Cmb\ONO_ENGAAG_COMBAT_BARDE-006		210472
	597277480	PANTIN_REAC-002	C:\Users\Marc\Documents\GitHub\KLAFT\KLAFT-Son_WwiseProject\.cache\Mac\SFX\VOX\PANTIN\DONNER_COUP\PANTIN_REAC-002_AD6F8379.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX\ENNEMIS\Pantin\VOX_PANT_Donner_Coup\VOX_PANT_Donner_Coup\PANTIN_REAC-002		78270
	652187579	PANTIN_CRIS_DOULEURS-003	C:\Users\Marc\Documents\GitHub\KLAFT\KLAFT-Son_WwiseProject\.cache\Mac\SFX\VOX\PANTIN\MORT\PANTIN_CRIS_DOULEURS-003_DC2126E0.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX\ENNEMIS\Pantin\VOX_PANT_Mort\VOX_PANT_Mort\PANTIN_CRIS_DOULEURS-003		204934
	669547984	ONO_ENGAAG_COMBAT_BARDE-009	C:\Users\Marc\Documents\GitHub\KLAFT\KLAFT-Son_WwiseProject\.cache\Mac\SFX\PERSO\Barde\Engagement combat\ONO_ENGAAG_COMBAT_BARDE-009_249BEBCA.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX\PERSONNAGES\Barde\VOX_BARD_Enga_Cmb\VOX_BARD_Enga_Cmb\ONO_ENGAAG_COMBAT_BARDE-009		247732
	765612297	PANTIN_REAC-001	C:\Users\Marc\Documents\GitHub\KLAFT\KLAFT-Son_WwiseProject\.cache\Mac\SFX\VOX\PANTIN\DONNER_COUP\PANTIN_REAC-001_80950B1C.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX\ENNEMIS\Pantin\VOX_PANT_Donner_Coup\VOX_PANT_Donner_Coup\PANTIN_REAC-001		116134
